num,block_height,elapsed_time
0,1,1253.376816683
1,2,1824.504237342
2,3,13.263856555
3,4,4831.163773571
4,5,1244.392010422
5,6,20.954342509
6,7,16.689777863
7,8,1230.321406096
8,9,610.962926158
9,10,30.540573503
10,11,33.057599785
11,12,658.645488927
12,13,6.896590058
13,14,7.277946636
14,15,54.713830512
15,16,48.652636433
16,17,23.869661848
17,18,17.820637234
18,19,646.669008174
19,20,2.084908473
20,21,1811.355263005
21,22,57.606880205
22,23,53.83599345
23,24,632.823558747
24,25,1229.062678122
25,26,604.081755759
26,27,35.218024349
27,28,605.062164893
28,29,1239.459121053
29,30,630.814675823
30,31,46.110044936
31,32,1219.294585211
32,33,18.911738324
33,34,32.123730103
34,35,1235.168715041
35,36,55.925210436
36,37,31.496297306
37,38,618.280018847
38,39,11.195656134
39,40,32.356941261
40,41,3044.604676436
41,42,4.43326571
42,43,15.672276081
43,44,635.868045401
44,45,611.230609029
45,46,14.336312157
46,47,25.839217859
47,48,2401.5957562
48,49,40.207475482
49,50,55.975029312
50,51,7.255171397
51,52,23.574948575
52,53,1223.072986985
53,54,38.644794808
54,55,12.296772539
55,56,54.514111369
56,57,605.574356182
57,58,3.163427047
58,59,1200.574136724
59,60,7.233741588
60,61,58.084045709
61,62,1224.972119556
62,63,1822.162901429
63,64,2.009708618
64,65,41.16403309
65,66,1213.170191854
66,67,10.037343473
67,68,32.5040315
68,69,612.886047098
69,70,623.829462395
70,71,5.857701191
71,72,612.532249916
72,73,8.75530958
73,74,42.895047204
74,75,614.746207891
75,76,603.586485794
76,77,26.009952176
77,78,40.392848728
78,79,58.070280596
79,80,656.969468085
80,81,2.70846543
81,82,46.085036322
82,83,611.901340253
83,84,601.5439577
84,85,31.470298889
85,86,50.753613113
86,87,8.535823085
87,88,638.681854913
88,89,618.420249727
89,90,9.283374864
90,91,653.387240199
91,92,36.286112831
92,93,620.481535559
93,94,659.39770723
94,95,13.557545996
95,96,33.162238723
96,97,1255.523904763
97,98,656.429870502
98,99,9.644122373
99,100,619.13816865
100,101,16.015199107
101,102,43.860536119
102,103,7.785202472
103,104,1255.552058881
104,105,19.684128361
105,106,3043.506754498
106,107,618.358102437
107,108,40.924112406
108,109,33.795218741
109,110,9.48639518
110,111,4216.66845529
111,112,1253.893369254
112,113,27.432215114
113,114,43.918174709
114,115,23.944975664
115,116,1802.505523677
116,117,622.200435946
117,118,621.299269157
118,119,653.206888127
119,120,45.276240997
120,121,601.112323001
121,122,39.957179811
122,123,37.119280665
123,124,1238.760068256
124,125,9.933016019
125,126,8.024681702
126,127,1212.57281037
127,128,602.88109078
128,129,51.747712817
129,130,32.170480177
130,131,57.167993668
131,132,1806.787339838
132,133,1207.343382616
133,134,625.204409729
134,135,31.4099163
135,136,7.04826577
136,137,22.911152973
137,138,600.967226325
138,139,54.366660833
139,140,47.288721023
140,141,20.005911635
141,142,1804.399152234
142,143,44.466740474
143,144,49.017998199
144,145,1200.17732774
145,146,8.60833662
146,147,53.905281471
147,148,14.904288523
148,149,3033.999494783
149,150,54.043315252
150,151,7.58258145
151,152,607.065622256
152,153,27.970804557
153,154,47.505567338
154,155,622.368043465
155,156,46.945012376
156,157,611.602122948
157,158,643.486849239
158,159,2.104679241
159,160,12.967597991
160,161,8.48692609
161,162,611.233780036
162,163,27.699048635
163,164,2.934268976
164,165,4204.472761311
165,166,8.921338102
166,167,20.337631754
167,168,1208.477041743
168,169,13.826285401
169,170,44.293267402
170,171,630.962019
171,172,30.727481101
172,173,10.826465188
173,174,42.703759076
174,175,54.375976949
175,176,635.153103196
176,177,5.989204755
177,178,1828.559997182
178,179,14.627153964
179,180,8.222427267
180,181,54.110336708
181,182,1202.289202002
182,183,2.246241582
183,184,11.695550602
184,185,3014.792161082
185,186,41.22269333
186,187,17.607133822
187,188,4.13424925
188,189,614.70088856
189,190,26.767144568
190,191,1230.494767444
191,192,51.614865555
192,193,659.633502769
193,194,615.055795613
194,195,47.082549947
195,196,23.507241258
196,197,620.34954755
197,198,619.153998731
198,199,614.119098024
199,200,2.906202158
200,201,45.843545431
201,202,49.966929164
202,203,1.193537599
203,204,31.304878379
204,205,11.552314021
205,206,649.777825817
206,207,1228.951745144
207,208,55.269143643
208,209,1856.836474679
209,210,51.708037206
210,211,36.646020833
211,212,30.713819722
212,213,15.415382989
213,214,12.762101485
214,215,22.066757234
215,216,40.61310764
216,217,615.35860081
217,218,648.13290104
218,219,4.514467253
219,220,2412.682624721
220,221,3649.869061147
221,222,656.172607086
222,223,5.250474315
223,224,32.473743624
224,225,1223.374916417
225,226,623.964679689
226,227,27.107570842
227,228,3.3678461299999998
228,229,635.237218492
229,230,42.003566068
230,231,47.049454289
231,232,18.779867028
232,233,32.215774606
233,234,19.23242241
234,235,3654.9924312
235,236,652.141024527
236,237,30.519085359
237,238,1216.461869768
238,239,49.605827461
239,240,629.888674152
240,241,5.95289441
241,242,13.216578493
242,243,27.947611309
243,244,50.528963047
244,245,47.314139016
245,246,648.896624314
246,247,639.5405149759999
247,248,616.02081651
248,249,1836.601139181
249,250,27.743465575
250,251,653.390866537
251,252,20.281421839
252,253,1210.103464356
253,254,653.028955793
254,255,16.040149579
255,256,629.873570286
256,257,36.030823285
257,258,4.185672226
258,259,27.275243105
259,260,30.468324024
260,261,658.586961509
261,262,8.022395913
262,263,618.763868074
263,264,3.97496224
264,265,644.936420278
265,266,28.619408453
266,267,638.1730343520001
267,268,1833.250585846
268,269,32.243866129
269,270,50.220281972
270,271,602.617862064
271,272,600.353671786
272,273,600.132459508
273,274,614.819260305
274,275,31.999459702
275,276,23.798226174
276,277,647.949791667
277,278,13.57196657
278,279,5.21448459
279,280,17.822868694
280,281,12.90961555
281,282,38.334591856
282,283,21.067501913
283,284,42.306717424
284,285,1822.945578224
285,286,606.890149248
286,287,636.493576149
287,288,50.584268018
288,289,18.324389213
289,290,4.498173831
290,291,15.624424182
291,292,2410.032993646
292,293,1.049766196
293,294,1824.327972459
294,295,604.890249553
295,296,617.703634372
296,297,30.184271152
297,298,1827.717835618
298,299,3.670774477
299,300,2412.152325428
300,301,38.807993442
301,302,29.417417629
302,303,8.381078796
303,304,1810.654060787
304,305,40.502477193
305,306,637.330184391
306,307,30.449253498
307,308,55.574219286
308,309,1216.868205267
309,310,611.733488816
310,311,39.665282745
311,312,59.270467981
312,313,50.814958175
313,314,23.314258836
314,315,18.348431216
315,316,48.215314977
316,317,46.658944638
317,318,31.19106568
318,319,3.551365917
319,320,34.33449296
320,321,14.916631832
321,322,51.901088554
322,323,651.800019729
323,324,1834.833628604
324,325,1248.369200928
