block_height,elapsed_time
1,2m53.376816683s
2,3m24.504237342s
3,13.263856555s
4,8m31.163773571s
5,2m44.392010422s
6,20.954342509s
7,16.689777863s
8,2m30.321406096s
9,1m10.962926158s
10,30.540573503s
11,33.057599785s
12,1m58.645488927s
13,6.896590058s
14,7.277946636s
15,54.713830512s
16,48.652636433s
17,23.869661848s
18,17.820637234s
19,1m46.669008174s
20,2.084908473s
21,3m11.355263005s
22,57.606880205s
23,53.83599345s
24,1m32.823558747s
25,2m29.062678122s
26,1m4.081755759s
27,35.218024349s
28,1m5.062164893s
29,2m39.459121053s
30,1m30.814675823s
31,46.110044936s
32,2m19.294585211s
33,18.911738324s
34,32.123730103s
35,2m35.168715041s
36,55.925210436s
37,31.496297306s
38,1m18.280018847s
39,11.195656134s
40,32.356941261s
41,5m44.604676436s
42,4.43326571s
43,15.672276081s
44,1m35.868045401s
45,1m11.230609029s
46,14.336312157s
47,25.839217859s
48,4m1.5957562s
49,40.207475482s
50,55.975029312s
51,7.255171397s
52,23.574948575s
53,2m23.072986985s
54,38.644794808s
55,12.296772539s
56,54.514111369s
57,1m5.574356182s
58,3.163427047s
59,2m0.574136724s
60,7.233741588s
61,58.084045709s
62,2m24.972119556s
63,3m22.162901429s
64,2.009708618s
65,41.16403309s
66,2m13.170191854s
67,10.037343473s
68,32.5040315s
69,1m12.886047098s
70,1m23.829462395s
71,5.857701191s
72,1m12.532249916s
73,8.75530958s
74,42.895047204s
75,1m14.746207891s
76,1m3.586485794s
77,26.009952176s
78,40.392848728s
79,58.070280596s
80,1m56.969468085s
81,2.70846543s
82,46.085036322s
83,1m11.901340253s
84,1m1.5439577s
85,31.470298889s
86,50.753613113s
87,8.535823085s
88,1m38.681854913s
89,1m18.420249727s
90,9.283374864s
91,1m53.387240199s
92,36.286112831s
93,1m20.481535559s
94,1m59.39770723s
95,13.557545996s
96,33.162238723s
97,2m55.523904763s
98,1m56.429870502s
99,9.644122373s
100,1m19.13816865s
101,16.015199107s
102,43.860536119s
103,7.785202472s
104,2m55.552058881s
105,19.684128361s
106,5m43.506754498s
107,1m18.358102437s
108,40.924112406s
109,33.795218741s
110,9.48639518s
111,7m16.66845529s
112,2m53.893369254s
113,27.432215114s
114,43.918174709s
115,23.944975664s
116,3m2.505523677s
117,1m22.200435946s
118,1m21.299269157s
119,1m53.206888127s
120,45.276240997s
121,1m1.112323001s
122,39.957179811s
123,37.119280665s
124,2m38.760068256s
125,9.933016019s
126,8.024681702s
127,2m12.57281037s
128,1m2.88109078s
129,51.747712817s
130,32.170480177s
131,57.167993668s
132,3m6.787339838s
133,2m7.343382616s
134,1m25.204409729s
135,31.4099163s
136,704.826577ms
137,22.911152973s
138,1m0.967226325s
139,54.366660833s
140,47.288721023s
141,20.005911635s
142,3m4.399152234s
143,44.466740474s
144,49.017998199s
145,2m0.17732774s
146,860.833662ms
147,53.905281471s
148,14.904288523s
149,5m33.999494783s
150,54.043315252s
151,758.258145ms
152,1m7.065622256s
153,27.970804557s
154,47.505567338s
155,1m22.368043465s
156,46.945012376s
157,1m11.602122948s
158,1m43.486849239s
159,2.104679241s
160,12.967597991s
161,8.48692609s
162,1m11.233780036s
163,27.699048635s
164,2.934268976s
165,7m4.472761311s
166,8.921338102s
167,20.337631754s
168,2m8.477041743s
169,13.826285401s
170,44.293267402s
171,1m30.962019s
172,30.727481101s
173,10.826465188s
174,42.703759076s
175,54.375976949s
176,1m35.153103196s
177,5.989204755s
178,3m28.559997182s
179,14.627153964s
180,8.222427267s
181,54.110336708s
182,2m2.289202002s
183,2.246241582s
184,11.695550602s
185,5m14.792161082s
186,41.22269333s
187,17.607133822s
188,413.424925ms
189,1m14.70088856s
190,26.767144568s
191,2m30.494767444s
192,51.614865555s
193,1m59.633502769s
194,1m15.055795613s
195,47.082549947s
196,23.507241258s
197,1m20.34954755s
198,1m19.153998731s
199,1m14.119098024s
200,2.906202158s
201,45.843545431s
202,49.966929164s
203,1.193537599s
204,31.304878379s
205,11.552314021s
206,1m49.777825817s
207,2m28.951745144s
208,55.269143643s
209,3m56.836474679s
210,51.708037206s
211,36.646020833s
212,30.713819722s
213,15.415382989s
214,12.762101485s
215,22.066757234s
216,40.61310764s
217,1m15.35860081s
218,1m48.13290104s
219,4.514467253s
220,4m12.682624721s
221,6m49.869061147s
222,1m56.172607086s
223,5.250474315s
224,32.473743624s
225,2m23.374916417s
226,1m23.964679689s
227,27.107570842s
228,336.784613ms
229,1m35.237218492s
230,42.003566068s
231,47.049454289s
232,18.779867028s
233,32.215774606s
234,19.23242241s
235,6m54.9924312s
236,1m52.141024527s
237,30.519085359s
238,2m16.461869768s
239,49.605827461s
240,1m29.888674152s
241,5.95289441s
242,13.216578493s
243,27.947611309s
244,50.528963047s
245,47.314139016s
246,1m48.896624314s
247,1m39.540514976s
248,1m16.02081651s
249,3m36.601139181s
250,27.743465575s
251,1m53.390866537s
252,20.281421839s
253,2m10.103464356s
254,1m53.028955793s
255,16.040149579s
256,1m29.873570286s
257,36.030823285s
258,4.185672226s
259,27.275243105s
260,30.468324024s
261,1m58.586961509s
262,8.022395913s
263,1m18.763868074s
264,3.97496224s
265,1m44.936420278s
266,28.619408453s
267,1m38.173034352s
268,3m33.250585846s
269,32.243866129s
270,50.220281972s
271,1m2.617862064s
272,1m0.353671786s
273,1m0.132459508s
274,1m14.819260305s
275,31.999459702s
276,23.798226174s
277,1m47.949791667s
278,13.57196657s
279,5.21448459s
280,17.822868694s
281,12.90961555s
282,38.334591856s
283,21.067501913s
284,42.306717424s
285,3m22.945578224s
286,1m6.890149248s
287,1m36.493576149s
288,50.584268018s
289,18.324389213s
290,4.498173831s
291,15.624424182s
292,4m10.032993646s
293,1.049766196s
294,3m24.327972459s
295,1m4.890249553s
296,1m17.703634372s
297,30.184271152s
298,3m27.717835618s
299,3.670774477s
300,4m12.152325428s
301,38.807993442s
302,29.417417629s
303,8.381078796s
304,3m10.654060787s
305,40.502477193s
306,1m37.330184391s
307,30.449253498s
308,55.574219286s
309,2m16.868205267s
310,1m11.733488816s
311,39.665282745s
312,59.270467981s
313,50.814958175s
314,23.314258836s
315,18.348431216s
316,48.215314977s
317,46.658944638s
318,31.19106568s
319,3.551365917s
320,34.33449296s
321,14.916631832s
322,51.901088554s
323,1m51.800019729s
324,3m34.833628604s
325,2m48.369200928s
326,1m18.601210096s
327,14.159093114s
328,48.431850089s
329,57.318962729s
330,47.059294851s
331,1m53.803270691s
332,6.031293922s
333,1m52.745057613s
334,28.272102518s
335,18.306581962s
336,58.067128933s
337,5.73056056s
338,12.129196546s
339,1m24.949663488s
340,3m40.267909943s
341,30.084734616s
342,532.73956ms
343,40.477698377s
344,20.288420262s
345,10.88658982s
346,1m33.625956607s
347,21.897532144s
348,40.742672699s
349,24.533979614s
350,2m37.531029419s
351,1m2.714783193s
352,16.300311258s
353,1m31.442106137s
354,5.916161177s
355,1m3.75371439s
356,2m14.028778304s
357,1m19.15409164s
358,1m39.765565536s
359,53.263128015s
360,32.789232784s
361,7.324515289s
362,59.458449223s
363,1m41.172135576s
364,14.193937144s
365,1m45.317619475s
366,21.025618907s
367,6m20.805496491s
368,39.59158292s
369,1m56.02579848s
370,6.38157555s
371,4.664674467s
372,5.377161236s
373,1m20.007718991s
374,31.904355944s
375,18.913760479s
376,1m7.66812565s
377,20.39526553s
378,18.830590292s
379,17.007825482s
380,1m21.932632143s
381,21.044402027s
382,5m33.010797337s
383,9.185108768s
384,2m3.932556081s
385,21.790678543s
386,15.761407244s
387,154.89431ms
388,2m41.378881337s
389,1m31.906783383s
390,7.34248188s
391,1m56.386273358s
392,2m36.894223845s
393,2m59.276377104s
394,2.111256489s
395,27.525461574s
396,6m37.985896661s
397,5.605993099s
398,1m55.494591811s
399,46.879779316s
400,39.517193054s
401,24.094031034s
402,46.783352733s
403,1m39.364151477s
404,2m36.998752369s
405,4.994407416s
406,57.863976059s
407,11.182471873s
408,5m1.43258373s
409,3m22.471343882s
410,2m50.292007306s
411,3.484725313s
412,11.494888777s
413,14.300918944s
414,48.068251733s
415,6.075589904s
416,1m13.109950785s
417,2m34.083359515s
418,13.229066161s
419,1m21.927134913s
420,8.475638863s
421,2m40.961240795s
422,9.138863192s
423,8.274220948s
424,1m32.419818576s
425,2m26.479437163s
426,11.239681437s
427,3m14.295576397s
428,1m30.069242729s
429,31.672805523s
430,4m18.71603202s
431,1m10.956603607s
432,25.188913976s
433,2m23.667015812s
434,1m14.807676049s
435,1m56.518562268s
436,25.171667744s
437,45.775330538s
438,45.492352944s
439,1m58.308349428s
440,29.289883344s
441,1m6.8577978s
442,27.704636528s
443,14.143245844s
444,5m53.372442574s
445,1m2.119217894s
446,29.516976513s
447,1m47.435464511s
448,18.756311247s
449,3m36.718163054s
450,10.024373599s
451,1m32.801724537s
452,4m46.654368032s
453,37.743953641s
454,10.271533295s
455,9.44674565s
456,12.789636427s
457,1m21.01772565s
458,35.69135376s
459,3m17.694751951s
460,1m4.154890721s
461,53.994495646s
462,1m32.210939884s
463,2m4.545371965s
464,1.816684974s
465,1m18.61689347s
466,1.232093879s
467,1m31.417305427s
468,23.93611047s
469,6.767339761s
470,1m0.119120885s
471,3m52.707807979s
472,13.504235517s
473,2.950294125s
474,5.453778768s
475,5m18.385841079s
476,56.406977638s
477,32.750202729s
478,37.929679592s
479,2m41.388100102s
480,27.199158445s
481,54.43894453s
482,1m0.698160894s
483,28.668508855s
484,5m4.556761162s
485,2m55.759228061s
486,1m15.400654373s
487,1m44.080428035s
488,1m32.316481858s
489,2m3.993142706s
490,17.281239553s
491,2m27.231934332s
492,1m13.247766038s
493,55.297416964s
494,17.02025861s
495,4m8.867025031s
496,22.908365086s
497,15.705160789s
498,5m0.341107092s
499,30.530506745s
500,18.26452922s
501,1m55.568853509s
502,8.075673523s
503,11.966455586s
504,29.046740833s
505,2m25.081880716s
506,1m35.966523122s
507,3m39.065459126s
508,56.700956622s
509,1m6.790109051s
510,59.225937663s
511,39.985876638s
512,39.585658728s
513,1m23.458721111s
514,3.753437317s
515,5.788247054s
516,1m13.459977619s
517,36.598516479s
518,1m6.241514631s
519,22.123122061s
520,1m19.224510198s
521,2m17.259231339s
522,29.814036364s
523,1m1.257176806s
524,3m54.794251299s
525,654.519929ms
526,27.766266147s
527,15.999571666s
528,24.129265228s
529,7m19.345824841s
530,2m10.034807804s
531,32.067831731s
532,1.133148676s
533,2m53.429296876s
534,31.270041812s
535,33.037186852s
536,3m19.759953261s
537,52.380988278s
538,4.018569213s
539,8.518869245s
540,4m50.307519236s
541,7.022956273s
542,47.880363915s
543,11.218075518s
544,1m47.965644976s
545,33.800679133s
546,27.569878721s
547,1m1.927392685s
548,36.5807887s
549,2m45.687092199s
550,22.927194594s
551,2m2.809465519s
552,26.141155657s
553,7.243576999s
554,1m25.988188922s
